time_step,value,lon,lat
1,0.0,136.16375,36.0081
2,0.0,136.16375,36.0081
3,0.00212,136.16375,36.0081
4,0.00849,136.16375,36.0081
5,0.00817,136.16375,36.0081
6,8.04083,136.16375,36.0081
7,23.51223,136.16375,36.0081
8,85.7759,136.16375,36.0081
9,59.39541,136.16375,36.0081
10,41.15301,136.16375,36.0081
11,30.28474,136.16375,36.0081
12,23.23004,136.16375,36.0081
13,18.62842,136.16375,36.0081
14,15.61464,136.16375,36.0081
15,13.56605,136.16375,36.0081
16,12.03126,136.16375,36.0081
17,11.07761,136.16375,36.0081
18,10.64176,136.16375,36.0081
19,9.89916,136.16375,36.0081
20,9.00275,136.16375,36.0081
21,8.33804,136.16375,36.0081
22,7.69351,136.16375,36.0081
23,6.975,136.16375,36.0081
24,6.21613,136.16375,36.0081
25,5.43026,136.16375,36.0081
26,4.70793,136.16375,36.0081
27,4.10666,136.16375,36.0081
28,4.41222,136.16375,36.0081
29,7.26912,136.16375,36.0081
30,9.91051,136.16375,36.0081
31,34.17735,136.16375,36.0081
32,72.73131,136.16375,36.0081
33,137.97191,136.16375,36.0081
34,176.70108,136.16375,36.0081
35,281.32059,136.16375,36.0081
36,284.10635,136.16375,36.0081
37,170.50268,136.16375,36.0081
38,107.99335,136.16375,36.0081
39,80.52822,136.16375,36.0081
40,65.77735,136.16375,36.0081
41,55.08148,136.16375,36.0081
42,48.11793,136.16375,36.0081
43,45.42679,136.16375,36.0081
44,41.52767,136.16375,36.0081
45,35.45253,136.16375,36.0081
46,29.44829,136.16375,36.0081
47,24.47655,136.16375,36.0081
48,20.43918,136.16375,36.0081
49,17.09612,136.16375,36.0081
50,14.39706,136.16375,36.0081
51,12.22408,136.16375,36.0081
52,10.41758,136.16375,36.0081
53,8.89527,136.16375,36.0081
54,7.62419,136.16375,36.0081
55,6.57398,136.16375,36.0081
56,5.70915,136.16375,36.0081
57,4.99424,136.16375,36.0081
58,4.3983,136.16375,36.0081
59,3.89699,136.16375,36.0081
60,3.47228,136.16375,36.0081
61,3.11087,136.16375,36.0081
62,2.80266,136.16375,36.0081
63,2.53953,136.16375,36.0081
64,2.31432,136.16375,36.0081
65,2.12041,136.16375,36.0081
66,1.95162,136.16375,36.0081
67,1.80262,136.16375,36.0081
68,1.66922,136.16375,36.0081
69,1.5485,136.16375,36.0081
70,1.43852,136.16375,36.0081
71,1.33798,136.16375,36.0081
72,1.24599,136.16375,36.0081
73,1.16181,136.16375,36.0081
74,1.08479,136.16375,36.0081
75,1.01431,136.16375,36.0081
76,0.94979,136.16375,36.0081
77,0.89068,136.16375,36.0081
78,0.83647,136.16375,36.0081
79,0.7867,136.16375,36.0081
80,0.74094,136.16375,36.0081
81,0.6988,136.16375,36.0081
82,0.65995,136.16375,36.0081
83,0.62406,136.16375,36.0081
84,0.59087,136.16375,36.0081
85,0.56012,136.16375,36.0081
86,0.53159,136.16375,36.0081
87,0.50508,136.16375,36.0081
88,0.48042,136.16375,36.0081
89,0.46503,136.16375,36.0081
90,0.58201,136.16375,36.0081
91,3.68087,136.16375,36.0081
92,82.14418,136.16375,36.0081
93,181.28708,136.16375,36.0081
94,184.51728,136.16375,36.0081
95,145.12525,136.16375,36.0081
96,147.49564,136.16375,36.0081
97,283.96602,136.16375,36.0081
98,415.05061,136.16375,36.0081
99,342.40613,136.16375,36.0081
100,330.50693,136.16375,36.0081
101,253.00149,136.16375,36.0081
102,198.42819,136.16375,36.0081
103,183.88504,136.16375,36.0081
104,179.20599,136.16375,36.0081
105,146.14511,136.16375,36.0081
106,109.2191,136.16375,36.0081
107,81.88373,136.16375,36.0081
108,60.14588,136.16375,36.0081
109,44.29681,136.16375,36.0081
110,37.33418,136.16375,36.0081
111,41.77283,136.16375,36.0081
112,60.67275,136.16375,36.0081
113,109.6848,136.16375,36.0081
114,118.11689,136.16375,36.0081
115,112.92591,136.16375,36.0081
116,116.72876,136.16375,36.0081
117,88.49729,136.16375,36.0081
118,73.58472,136.16375,36.0081
119,66.11439,136.16375,36.0081
120,55.37547,136.16375,36.0081
121,43.74879,136.16375,36.0081
122,35.13055,136.16375,36.0081
123,29.70342,136.16375,36.0081
124,25.3446,136.16375,36.0081
125,21.86936,136.16375,36.0081
126,18.70752,136.16375,36.0081
127,15.8589,136.16375,36.0081
128,13.60963,136.16375,36.0081
129,12.28068,136.16375,36.0081
130,11.7101,136.16375,36.0081
131,11.72081,136.16375,36.0081
132,12.35136,136.16375,36.0081
133,12.46675,136.16375,36.0081
134,11.98681,136.16375,36.0081
135,11.11166,136.16375,36.0081
136,10.05848,136.16375,36.0081
137,9.04023,136.16375,36.0081
138,8.1431,136.16375,36.0081
139,7.38376,136.16375,36.0081
140,6.75534,136.16375,36.0081
141,6.32867,136.16375,36.0081
142,7.17679,136.16375,36.0081
143,10.27772,136.16375,36.0081
144,11.05951,136.16375,36.0081
145,13.23034,136.16375,36.0081
146,21.63101,136.16375,36.0081
147,41.91147,136.16375,36.0081
148,52.99848,136.16375,36.0081
149,43.13928,136.16375,36.0081
150,33.52473,136.16375,36.0081
151,26.32277,136.16375,36.0081
152,21.06466,136.16375,36.0081
153,17.22329,136.16375,36.0081
154,14.39172,136.16375,36.0081
155,12.27653,136.16375,36.0081
156,10.67693,136.16375,36.0081
157,9.45796,136.16375,36.0081
158,8.52794,136.16375,36.0081
159,7.82288,136.16375,36.0081
160,7.29606,136.16375,36.0081
161,6.91085,136.16375,36.0081
162,6.63576,136.16375,36.0081
163,6.44227,136.16375,36.0081
164,6.30551,136.16375,36.0081
165,6.20589,136.16375,36.0081
166,6.13268,136.16375,36.0081
167,6.15667,136.16375,36.0081
168,6.45658,136.16375,36.0081
169,6.92297,136.16375,36.0081
170,7.34444,136.16375,36.0081
171,7.65034,136.16375,36.0081
172,7.51526,136.16375,36.0081
173,7.15237,136.16375,36.0081
174,6.84029,136.16375,36.0081
175,7.42826,136.16375,36.0081
176,109.80016,136.16375,36.0081
177,149.9211,136.16375,36.0081
178,88.45087,136.16375,36.0081
179,58.23268,136.16375,36.0081
180,43.6922,136.16375,36.0081
181,37.16897,136.16375,36.0081
182,33.64623,136.16375,36.0081
183,29.4059,136.16375,36.0081
184,24.98843,136.16375,36.0081
185,21.62727,136.16375,36.0081
186,19.12932,136.16375,36.0081
187,17.35295,136.16375,36.0081
188,16.1941,136.16375,36.0081
189,15.45281,136.16375,36.0081
190,14.94264,136.16375,36.0081
191,14.55895,136.16375,36.0081
192,14.25474,136.16375,36.0081
193,14.00653,136.16375,36.0081
194,13.7994,136.16375,36.0081
195,13.62264,136.16375,36.0081
196,13.46841,136.16375,36.0081
197,13.33101,136.16375,36.0081
198,13.20695,136.16375,36.0081
199,13.10375,136.16375,36.0081
200,13.02323,136.16375,36.0081
201,12.937,136.16375,36.0081
202,12.92404,136.16375,36.0081
203,13.03336,136.16375,36.0081
204,13.07426,136.16375,36.0081
205,12.95851,136.16375,36.0081
206,12.77442,136.16375,36.0081
207,12.59319,136.16375,36.0081
208,12.43912,136.16375,36.0081
209,12.31394,136.16375,36.0081
210,12.2117,136.16375,36.0081
211,12.1253,136.16375,36.0081
212,12.04891,136.16375,36.0081
213,11.9785,136.16375,36.0081
214,11.9116,136.16375,36.0081
215,11.84684,136.16375,36.0081
216,11.78354,136.16375,36.0081
217,11.72135,136.16375,36.0081
218,11.66011,136.16375,36.0081
219,11.59973,136.16375,36.0081
220,11.54015,136.16375,36.0081
221,11.48133,136.16375,36.0081
222,11.42323,136.16375,36.0081
223,11.36584,136.16375,36.0081
224,11.30911,136.16375,36.0081
225,11.25302,136.16375,36.0081
226,11.19756,136.16375,36.0081
227,11.14269,136.16375,36.0081
228,11.08841,136.16375,36.0081
229,11.03469,136.16375,36.0081
230,11.053,136.16375,36.0081
231,11.86542,136.16375,36.0081
232,14.93711,136.16375,36.0081
233,19.29825,136.16375,36.0081
234,28.68903,136.16375,36.0081
235,52.4661,136.16375,36.0081
236,52.92075,136.16375,36.0081
237,42.00155,136.16375,36.0081
238,32.80414,136.16375,36.0081
239,26.35115,136.16375,36.0081
240,21.92089,136.16375,36.0081
